80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0046 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:316 F: 3
							8493E1 A9 11       LDA #$11               A:0076 X:0E68 Y:0A9D S:0120 D:0000 DB:86 nvMxdizc V:251 H: 20 F: 3
							8493E3 38          SEC                    A:0011 X:0E68 Y:0A9D S:0120 D:0000 DB:86 nvMxdizc V:251 H: 23 F: 3
							8493E4 E5 0C       SBC $0C       [00000C] A:0011 X:0E68 Y:0A9D S:0120 D:0000 DB:86 nvMxdizC V:251 H: 26 F: 3
							8493E6 34 29       BIT $29,X     [000E91] A:0003 X:0E68 Y:0A9D S:0120 D:0000 DB:86 nvMxdizC V:251 H: 31 F: 3
							8493E8 30 07       BMI $0007     [8493F1] A:0003 X:0E68 Y:0A9D S:0120 D:0000 DB:86 NVMxdizC V:251 H: 38 F: 3
							8493F1 18          CLC                    A:0003 X:0E68 Y:0A9D S:0120 D:0000 DB:86 NVMxdizC V:251 H: 42 F: 3
							8493F2 75 05       ADC $05,X     [000E6D] A:0003 X:0E68 Y:0A9D S:0120 D:0000 DB:86 NVMxdizc V:251 H: 45 F: 3
							8493F4 95 05       STA $05,X     [000E6D] A:001F X:0E68 Y:0A9D S:0120 D:0000 DB:86 nvMxdizc V:251 H: 52 F: 3
							8493F6 B5 06       LDA $06,X     [000E6E] A:001F X:0E68 Y:0A9D S:0120 D:0000 DB:86 nvMxdizc V:251 H: 58 F: 3
							8493F8 65 01       ADC $01       [000001] A:0014 X:0E68 Y:0A9D S:0120 D:0000 DB:86 nvMxdizc V:251 H: 65 F: 3
							8493FA 95 06       STA $06,X     [000E6E] A:0014 X:0E68 Y:0A9D S:0120 D:0000 DB:86 nvMxdizc V:251 H: 70 F: 3
							8493FC A9 01       LDA #$01               A:0014 X:0E68 Y:0A9D S:0120 D:0000 DB:86 nvMxdizc V:251 H: 76 F: 3
							8493FE 60          RTS                    A:0001 X:0E68 Y:0A9D S:0120 D:0000 DB:86 nvMxdizc V:251 H: 79 F: 3

						84932F 08          PHP                    A:0001 X:0E68 Y:0A9D S:0122 D:0000 DB:86 nvMxdizc V:251 H: 89 F: 3
