80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BB S:0133 D:0E68 DB:86 nvMXdizC V:247 H:172 F: 9
			889FBC 69 BD CF    ADC #$CFBD             A:0000 X:0006 Y:0002 S:012C D:0E68 DB:86 nvmXdiZc V:248 H:337 F: 9
			889FBF 85 20       STA $20       [000E88] A:CFBD X:0006 Y:0002 S:012C D:0E68 DB:86 NvmXdizc V:249 H:  1 F: 9
			889FC1 A5 10       LDA $10       [000E78] A:CFBD X:0006 Y:0002 S:012C D:0E68 DB:86 NvmXdizc V:249 H: 10 F: 9
			889FC3 0A          ASL A                  A:2900 X:0006 Y:0002 S:012C D:0E68 DB:86 nvmXdizc V:249 H: 18 F: 9
			889FC4 0A          ASL A                  A:5200 X:0006 Y:0002 S:012C D:0E68 DB:86 nvmXdizc V:249 H: 21 F: 9
			889FC5 B0 04       BCS $0004     [889FCB] A:A400 X:0006 Y:0002 S:012C D:0E68 DB:86 NvmXdizc V:249 H: 24 F: 9
			889FC7 E6 22       INC $22       [000E8A] A:A400 X:0006 Y:0002 S:012C D:0E68 DB:86 NvmXdizc V:249 H: 27 F: 9
			889FC9 80 02       BRA $0002     [889FCD] A:A400 X:0006 Y:0002 S:012C D:0E68 DB:86 nvmXdizc V:249 H: 41 F: 9
			889FCD E2 20       SEP #$20               A:A400 X:0006 Y:0002 S:012C D:0E68 DB:86 nvmXdizc V:249 H: 46 F: 9
			889FCF 22 BE 91 84 JSL $8491BE   [8491BE] A:A400 X:0006 Y:0002 S:012C D:0E68 DB:86 nvMXdizc V:249 H: 50 F: 9		JSL $8491BE --> Check for colissions and adjust position

				8491BE 08          PHP                    A:A400 X:0006 Y:0002 S:0129 D:0E68 DB:86 nvMXdizc V:249 H: 64 F: 9
				8491BF 0B          PHD                    A:A400 X:0006 Y:0002 S:0128 D:0E68 DB:86 nvMXdizc V:249 H: 69 F: 9
				8491C0 C2 30       REP #$30               A:A400 X:0006 Y:0002 S:0126 D:0E68 DB:86 nvMXdizc V:249 H: 76 F: 9
				8491C2 A5 20       LDA $20       [000E88] A:A400 X:0006 Y:0002 S:0126 D:0E68 DB:86 nvmxdizc V:249 H: 80 F: 9
				8491C4 F0 15       BEQ $0015     [8491DB] A:CFBD X:0006 Y:0002 S:0126 D:0E68 DB:86 Nvmxdizc V:249 H: 89 F: 9
				8491C6 7B          TDC                    A:CFBD X:0006 Y:0002 S:0126 D:0E68 DB:86 Nvmxdizc V:249 H: 92 F: 9
				8491C7 AA          TAX                    A:0E68 X:0006 Y:0002 S:0126 D:0E68 DB:86 nvmxdizc V:249 H: 95 F: 9
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:0002 S:0126 D:0E68 DB:86 nvmxdizc V:249 H: 98 F: 9
				8491CB 5B          TCD                    A:0000 X:0E68 Y:0002 S:0126 D:0E68 DB:86 nvmxdiZc V:249 H:102 F: 9
				8491CC 64 14       STZ $14       [000014] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:249 H:105 F: 9
				8491CE B5 2B       LDA $2B,X     [000E93] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:249 H:112 F: 9
				8491D0 29 00 FF    AND #$FF00             A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:249 H:121 F: 9
				8491D3 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:249 H:125 F: 9
				8491D5 20 AC 92    JSR $92AC     [8492AC] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:249 H:134 F: 9

					8492AC C2 30       REP #$30               A:0000 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdiZc V:249 H:154 F: 9
					8492AE B5 05       LDA $05,X     [000E6D] A:0000 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdiZc V:249 H:158 F: 9
					8492B0 38          SEC                    A:1D44 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdizc V:249 H:167 F: 9
					8492B1 F5 22       SBC $22,X     [000E8A] A:1D44 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdizC V:249 H:170 F: 9
					8492B3 85 00       STA $00       [000000] A:FFE3 X:0E68 Y:0002 S:0124 D:0000 DB:86 Nvmxdizc V:249 H:178 F: 9
					8492B5 E2 20       SEP #$20               A:FFE3 X:0E68 Y:0002 S:0124 D:0000 DB:86 Nvmxdizc V:249 H:185 F: 9
					8492B7 F0 4C       BEQ $004C     [849305] A:FFE3 X:0E68 Y:0002 S:0124 D:0000 DB:86 NvMxdizc V:249 H:190 F: 9
					8492B9 B4 20       LDY $20,X     [000E88] A:FFE3 X:0E68 Y:0002 S:0124 D:0000 DB:86 NvMxdizc V:249 H:193 F: 9
					8492BB B9 05 00    LDA $0005,Y   [86CFC2] A:FFE3 X:0E68 Y:CFBD S:0124 D:0000 DB:86 NvMxdizc V:249 H:201 F: 9
					8492BE 34 11       BIT $11,X     [000E79] A:FFF0 X:0E68 Y:CFBD S:0124 D:0000 DB:86 NvMxdizc V:249 H:209 F: 9
					8492C0 50 03       BVC $0003     [8492C5] A:FFF0 X:0E68 Y:CFBD S:0124 D:0000 DB:86 nvMxdizc V:249 H:215 F: 9
					8492C5 24 00       BIT $00       [000000] A:FFF0 X:0E68 Y:CFBD S:0124 D:0000 DB:86 nvMxdizc V:249 H:220 F: 9
					8492C7 10 06       BPL $0006     [8492CF] A:FFF0 X:0E68 Y:CFBD S:0124 D:0000 DB:86 NVMxdizc V:249 H:225 F: 9
					8492C9 38          SEC                    A:FFF0 X:0E68 Y:CFBD S:0124 D:0000 DB:86 NVMxdizc V:249 H:228 F: 9
					8492CA F9 07 00    SBC $0007,Y   [86CFC4] A:FFF0 X:0E68 Y:CFBD S:0124 D:0000 DB:86 NVMxdizC V:249 H:231 F: 9
					8492CD 80 04       BRA $0004     [8492D3] A:FFE4 X:0E68 Y:CFBD S:0124 D:0000 DB:86 NvMxdizC V:249 H:238 F: 9
					8492D3 95 29       STA $29,X     [000E91] A:FFE4 X:0E68 Y:CFBD S:0124 D:0000 DB:86 NvMxdizC V:249 H:243 F: 9
					8492D5 B9 06 00    LDA $0006,Y   [86CFC3] A:FFE4 X:0E68 Y:CFBD S:0124 D:0000 DB:86 NvMxdizC V:249 H:249 F: 9
					8492D8 95 2A       STA $2A,X     [000E92] A:FFE5 X:0E68 Y:CFBD S:0124 D:0000 DB:86 NvMxdizC V:249 H:257 F: 9
					8492DA 20 15 93    JSR $9315     [849315] A:FFE5 X:0E68 Y:CFBD S:0124 D:0000 DB:86 NvMxdizC V:249 H:263 F: 9

						849315 20 B3 90    JSR $90B3     [8490B3] A:FFE5 X:0E68 Y:CFBD S:0122 D:0000 DB:86 NvMxdizC V:249 H:273 F: 9

							8490B3 0B          PHD                    A:FFE5 X:0E68 Y:CFBD S:0120 D:0000 DB:86 NvMxdizC V:249 H:283 F: 9
							8490B4 DA          PHX                    A:FFE5 X:0E68 Y:CFBD S:011E D:0000 DB:86 NvMxdizC V:249 H:290 F: 9
							8490B5 08          PHP                    A:FFE5 X:0E68 Y:CFBD S:011C D:0000 DB:86 NvMxdizC V:249 H:297 F: 9
							8490B6 E2 20       SEP #$20               A:FFE5 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizC V:249 H:302 F: 9
							8490B8 C2 10       REP #$10               A:FFE5 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizC V:249 H:307 F: 9
							8490BA 64 01       STZ $01       [000001] A:FFE5 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizC V:249 H:311 F: 9
							8490BC B5 29       LDA $29,X     [000E91] A:FFE5 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizC V:249 H:316 F: 9
							8490BE 10 02       BPL $0002     [8490C2] A:FFE4 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizC V:249 H:323 F: 9
							8490C0 C6 01       DEC $01       [000001] A:FFE4 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizC V:249 H:325 F: 9
							8490C2 18          CLC                    A:FFE4 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizC V:249 H:333 F: 9
							8490C3 75 05       ADC $05,X     [000E6D] A:FFE4 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizc V:249 H:336 F: 9
							8490C5 85 00       STA $00       [000000] A:FF28 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H:  3 F: 9
							8490C7 B5 06       LDA $06,X     [000E6E] A:FF28 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H:  8 F: 9
							8490C9 65 01       ADC $01       [000001] A:FF1D X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 14 F: 9
							8490CB 85 01       STA $01       [000001] A:FF1D X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 19 F: 9
							8490CD 64 03       STZ $03       [000003] A:FF1D X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 24 F: 9
							8490CF B5 2A       LDA $2A,X     [000E92] A:FF1D X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 29 F: 9
							8490D1 10 02       BPL $0002     [8490D5] A:FFE5 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizC V:250 H: 36 F: 9
							8490D3 C6 03       DEC $03       [000003] A:FFE5 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizC V:250 H: 39 F: 9
							8490D5 18          CLC                    A:FFE5 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizC V:250 H: 47 F: 9
							8490D6 75 08       ADC $08,X     [000E70] A:FFE5 X:0E68 Y:CFBD S:011B D:0000 DB:86 NvMxdizc V:250 H: 50 F: 9
							8490D8 85 02       STA $02       [000002] A:FF2F X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 57 F: 9
							8490DA 29 F0       AND #$F0               A:FF2F X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 62 F: 9
							8490DC 85 0A       STA $0A       [00000A] A:FF20 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 65 F: 9
							8490DE B5 09       LDA $09,X     [000E71] A:FF20 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 70 F: 9
							8490E0 65 03       ADC $03       [000003] A:FF03 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 76 F: 9
							8490E2 85 03       STA $03       [000003] A:FF03 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 81 F: 9
							8490E4 85 0B       STA $0B       [00000B] A:FF03 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 86 F: 9
							8490E6 A5 00       LDA $00       [000000] A:FF03 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 91 F: 9
							8490E8 29 0F       AND #$0F               A:FF28 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 96 F: 9
							8490EA 1A          INC                    A:FF08 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H: 99 F: 9
							8490EB 85 0C       STA $0C       [00000C] A:FF09 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H:102 F: 9
							8490ED A5 02       LDA $02       [000002] A:FF09 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H:107 F: 9
							8490EF 29 0F       AND #$0F               A:FF2F X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H:112 F: 9
							8490F1 1A          INC                    A:FF0F X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H:115 F: 9
							8490F2 85 0E       STA $0E       [00000E] A:FF10 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H:118 F: 9
							8490F4 C2 20       REP #$20               A:FF10 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvMxdizC V:250 H:123 F: 9
							8490F6 20 6A 91    JSR $916A     [84916A] A:FF10 X:0E68 Y:CFBD S:011B D:0000 DB:86 nvmxdizC V:250 H:128 F: 9

								84916A A9 00 E8    LDA #$E800             A:FF10 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizC V:250 H:148 F: 9
								84916D 85 10       STA $10       [000010] A:E800 X:0E68 Y:CFBD S:0119 D:0000 DB:86 NvmxdizC V:250 H:152 F: 9
								84916F A9 7E 00    LDA #$007E             A:E800 X:0E68 Y:CFBD S:0119 D:0000 DB:86 NvmxdizC V:250 H:159 F: 9
								849172 85 12       STA $12       [000012] A:007E X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizC V:250 H:164 F: 9
								849174 A5 02       LDA $02       [000002] A:007E X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizC V:250 H:171 F: 9
								849176 29 F0 00    AND #$00F0             A:032F X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizC V:250 H:178 F: 9
								849179 0A          ASL A                  A:0020 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizC V:250 H:182 F: 9
								84917A 85 04       STA $04       [000004] A:0040 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:185 F: 9
								84917C A5 00       LDA $00       [000000] A:0040 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:192 F: 9
								84917E 29 FF 00    AND #$00FF             A:1D28 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:199 F: 9
								849181 4A          LSR A                  A:0028 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:204 F: 9
								849182 4A          LSR A                  A:0014 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:207 F: 9
								849183 4A          LSR A                  A:000A X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:210 F: 9
								849184 29 FE FF    AND #$FFFE             A:0005 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:213 F: 9
								849187 18          CLC                    A:0004 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:217 F: 9
								849188 65 04       ADC $04       [000004] A:0004 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:220 F: 9
								84918A 85 06       STA $06       [000006] A:0044 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:227 F: 9
								84918C A5 00       LDA $00       [000000] A:0044 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:234 F: 9
								84918E EB          XBA                    A:1D28 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:241 F: 9
								84918F 29 1F 00    AND #$001F             A:281D X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:246 F: 9
								849192 85 04       STA $04       [000004] A:001D X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:250 F: 9
								849194 A5 02       LDA $02       [000002] A:001D X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:257 F: 9
								849196 29 00 1F    AND #$1F00             A:032F X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:264 F: 9
								849199 4A          LSR A                  A:0300 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:269 F: 9
								84919A 4A          LSR A                  A:0180 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:272 F: 9
								84919B 4A          LSR A                  A:00C0 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:275 F: 9
								84919C 18          CLC                    A:0060 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:278 F: 9
								84919D 65 04       ADC $04       [000004] A:0060 X:0E68 Y:CFBD S:0119 D:0000 DB:86 nvmxdizc V:250 H:281 F: 9
