80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BB S:0133 D:0E68 DB:86 nvMXdizC V:247 H:172 F:10
				82823C 28          PLP                    A:4A03 X:0008 Y:00BB S:0128 D:0E68 DB:86 nvMXdizc V:248 H:234 F:10
				82823D 6B          RTL                    A:4A03 X:0008 Y:00BB S:0129 D:0E68 DB:86 nvMXdizc V:248 H:241 F:10

			88A006 C2 20       REP #$20               A:4A03 X:0008 Y:00BB S:012C D:0E68 DB:86 nvMXdizc V:248 H:251 F:10
			88A008 A9 B8 CF    LDA #$CFB8             A:4A03 X:0008 Y:00BB S:012C D:0E68 DB:86 nvmXdizc V:248 H:256 F:10	E-$20 = #$CDB8
			88A00B 85 20       STA $20       [000E88] A:CFB8 X:0008 Y:00BB S:012C D:0E68 DB:86 NvmXdizc V:248 H:260 F:10	
			88A00D E2 20       SEP #$20               A:CFB8 X:0008 Y:00BB S:012C D:0E68 DB:86 NvmXdizc V:248 H:269 F:10
			88A00F 22 BE 91 84 JSL $8491BE   [8491BE] A:CFB8 X:0008 Y:00BB S:012C D:0E68 DB:86 NvMXdizc V:248 H:273 F:10	JSL $8491BE --> Check for colissions and adjust position

				8491BE 08          PHP                    A:CFB8 X:0008 Y:00BB S:0129 D:0E68 DB:86 NvMXdizc V:248 H:287 F:10
				8491BF 0B          PHD                    A:CFB8 X:0008 Y:00BB S:0128 D:0E68 DB:86 NvMXdizc V:248 H:292 F:10
				8491C0 C2 30       REP #$30               A:CFB8 X:0008 Y:00BB S:0126 D:0E68 DB:86 NvMXdizc V:248 H:299 F:10
				8491C2 A5 20       LDA $20       [000E88] A:CFB8 X:0008 Y:00BB S:0126 D:0E68 DB:86 Nvmxdizc V:248 H:303 F:10
				8491C4 F0 15       BEQ $0015     [8491DB] A:CFB8 X:0008 Y:00BB S:0126 D:0E68 DB:86 Nvmxdizc V:248 H:312 F:10
				8491C6 7B          TDC                    A:CFB8 X:0008 Y:00BB S:0126 D:0E68 DB:86 Nvmxdizc V:248 H:315 F:10
				8491C7 AA          TAX                    A:0E68 X:0008 Y:00BB S:0126 D:0E68 DB:86 nvmxdizc V:248 H:318 F:10
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:00BB S:0126 D:0E68 DB:86 nvmxdizc V:248 H:321 F:10
				8491CB 5B          TCD                    A:0000 X:0E68 Y:00BB S:0126 D:0E68 DB:86 nvmxdiZc V:248 H:325 F:10
				8491CC 64 14       STZ $14       [000014] A:0000 X:0E68 Y:00BB S:0126 D:0000 DB:86 nvmxdiZc V:248 H:327 F:10
				8491CE B5 2B       LDA $2B,X     [000E93] A:0000 X:0E68 Y:00BB S:0126 D:0000 DB:86 nvmxdiZc V:248 H:334 F:10
				8491D0 29 00 FF    AND #$FF00             A:0000 X:0E68 Y:00BB S:0126 D:0000 DB:86 nvmxdiZc V:249 H:  3 F:10
				8491D3 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:00BB S:0126 D:0000 DB:86 nvmxdiZc V:249 H:  7 F:10
				8491D5 20 AC 92    JSR $92AC     [8492AC] A:0000 X:0E68 Y:00BB S:0126 D:0000 DB:86 nvmxdiZc V:249 H: 16 F:10

					8492AC C2 30       REP #$30               A:0000 X:0E68 Y:00BB S:0124 D:0000 DB:86 nvmxdiZc V:249 H: 26 F:10
					8492AE B5 05       LDA $05,X     [000E6D] A:0000 X:0E68 Y:00BB S:0124 D:0000 DB:86 nvmxdiZc V:249 H: 30 F:10
					8492B0 38          SEC                    A:1D44 X:0E68 Y:00BB S:0124 D:0000 DB:86 nvmxdizc V:249 H: 39 F:10
					8492B1 F5 22       SBC $22,X     [000E8A] A:1D44 X:0E68 Y:00BB S:0124 D:0000 DB:86 nvmxdizC V:249 H: 42 F:10
					8492B3 85 00       STA $00       [000000] A:0000 X:0E68 Y:00BB S:0124 D:0000 DB:86 nvmxdiZC V:249 H: 50 F:10
					8492B5 E2 20       SEP #$20               A:0000 X:0E68 Y:00BB S:0124 D:0000 DB:86 nvmxdiZC V:249 H: 57 F:10
					8492B7 F0 4C       BEQ $004C     [849305] A:0000 X:0E68 Y:00BB S:0124 D:0000 DB:86 nvMxdiZC V:249 H: 62 F:10
					849305 C2 30       REP #$30               A:0000 X:0E68 Y:00BB S:0124 D:0000 DB:86 nvMxdiZC V:249 H: 66 F:10
					849307 60          RTS                    A:0000 X:0E68 Y:00BB S:0124 D:0000 DB:86 nvmxdiZC V:249 H: 71 F:10

				8491D8 20 ED 91    JSR $91ED     [8491ED] A:0000 X:0E68 Y:00BB S:0126 D:0000 DB:86 nvmxdiZC V:249 H: 81 F:10

					8491ED B5 08       LDA $08,X     [000E70] A:0000 X:0E68 Y:00BB S:0124 D:0000 DB:86 nvmxdiZC V:249 H: 91 F:10
					8491EF D5 24       CMP $24,X     [000E8C] A:034A X:0E68 Y:00BB S:0124 D:0000 DB:86 nvmxdizC V:249 H: 99 F:10
					8491F1 F0 F2       BEQ $00F2     [8491E5] A:034A X:0E68 Y:00BB S:0124 D:0000 DB:86 nvmxdiZC V:249 H:108 F:10
					8491E5 B5 1C       LDA $1C,X     [000E84] A:034A X:0E68 Y:00BB S:0124 D:0000 DB:86 nvmxdiZC V:249 H:112 F:10
					8491E7 F0 F5       BEQ $00F5     [8491DE] A:FFC0 X:0E68 Y:00BB S:0124 D:0000 DB:86 NvmxdizC V:249 H:121 F:10
					8491E9 10 0A       BPL $000A     [8491F5] A:FFC0 X:0E68 Y:00BB S:0124 D:0000 DB:86 NvmxdizC V:249 H:124 F:10
					8491EB 80 55       BRA $0055     [849242] A:FFC0 X:0E68 Y:00BB S:0124 D:0000 DB:86 NvmxdizC V:249 H:127 F:10
					849242 E2 20       SEP #$20               A:FFC0 X:0E68 Y:00BB S:0124 D:0000 DB:86 NvmxdizC V:249 H:131 F:10
					849244 A0 04 00    LDY #$0004             A:FFC0 X:0E68 Y:00BB S:0124 D:0000 DB:86 NvMxdizC V:249 H:146 F:10
					849247 AD 1C 1F    LDA $1F1C     [861F1C] A:FFC0 X:0E68 Y:0004 S:0124 D:0000 DB:86 nvMxdizC V:249 H:150 F:10
					84924A F0 03       BEQ $0003     [84924F] A:FF00 X:0E68 Y:0004 S:0124 D:0000 DB:86 nvMxdiZC V:249 H:157 F:10
					84924F B5 2F       LDA $2F,X     [000E97] A:FF00 X:0E68 Y:0004 S:0124 D:0000 DB:86 nvMxdiZC V:249 H:161 F:10
					849251 F0 03       BEQ $0003     [849256] A:FFFF X:0E68 Y:0004 S:0124 D:0000 DB:86 NvMxdizC V:249 H:168 F:10
					849253 A0 00 00    LDY #$0000             A:FFFF X:0E68 Y:0004 S:0124 D:0000 DB:86 NvMxdizC V:249 H:171 F:10
					849256 98          TYA                    A:FFFF X:0E68 Y:0000 S:0124 D:0000 DB:86 nvMxdiZC V:249 H:175 F:10
					849257 09 80       ORA #$80               A:FF00 X:0E68 Y:0000 S:0124 D:0000 DB:86 nvMxdiZC V:249 H:178 F:10
					849259 85 08       STA $08       [000008] A:FF80 X:0E68 Y:0000 S:0124 D:0000 DB:86 NvMxdizC V:249 H:181 F:10
					84925B B4 20       LDY $20,X     [000E88] A:FF80 X:0E68 Y:0000 S:0124 D:0000 DB:86 NvMxdizC V:249 H:186 F:10
					84925D B9 06 00    LDA $0006,Y   [86CFBE] A:FF80 X:0E68 Y:CFB8 S:0124 D:0000 DB:86 NvMxdizC V:249 H:195 F:10
					849260 18          CLC                    A:FF00 X:0E68 Y:CFB8 S:0124 D:0000 DB:86 nvMxdiZC V:249 H:202 F:10
					849261 79 08 00    ADC $0008,Y   [86CFC0] A:FF00 X:0E68 Y:CFB8 S:0124 D:0000 DB:86 nvMxdiZc V:249 H:205 F:10
					849264 95 2A       STA $2A,X     [000E92] A:FF1D X:0E68 Y:CFB8 S:0124 D:0000 DB:86 nvMxdizc V:249 H:213 F:10
					849266 B9 05 00    LDA $0005,Y   [86CFBD] A:FF1D X:0E68 Y:CFB8 S:0124 D:0000 DB:86 nvMxdizc V:249 H:219 F:10
					849269 34 11       BIT $11,X     [000E79] A:FF00 X:0E68 Y:CFB8 S:0124 D:0000 DB:86 nvMxdiZc V:249 H:227 F:10
					84926B 50 03       BVC $0003     [849270] A:FF00 X:0E68 Y:CFB8 S:0124 D:0000 DB:86 nvMxdiZc V:249 H:233 F:10
					849270 95 29       STA $29,X     [000E91] A:FF00 X:0E68 Y:CFB8 S:0124 D:0000 DB:86 nvMxdiZc V:249 H:238 F:10
					849272 20 C4 95    JSR $95C4     [8495C4] A:FF00 X:0E68 Y:CFB8 S:0124 D:0000 DB:86 nvMxdiZc V:249 H:244 F:10

						8495C4 B5 2A       LDA $2A,X     [000E92] A:FF00 X:0E68 Y:CFB8 S:0122 D:0000 DB:86 nvMxdiZc V:249 H:254 F:10
						8495C6 48          PHA                    A:FF1D X:0E68 Y:CFB8 S:0122 D:0000 DB:86 nvMxdizc V:249 H:261 F:10
						8495C7 A5 08       LDA $08       [000008] A:FF1D X:0E68 Y:CFB8 S:0121 D:0000 DB:86 nvMxdizc V:249 H:266 F:10
						8495C9 29 7F       AND #$7F               A:FF80 X:0E68 Y:CFB8 S:0121 D:0000 DB:86 NvMxdizc V:249 H:271 F:10
						8495CB 18          CLC                    A:FF00 X:0E68 Y:CFB8 S:0121 D:0000 DB:86 nvMxdiZc V:249 H:274 F:10
						8495CC 75 2A       ADC $2A,X     [000E92] A:FF00 X:0E68 Y:CFB8 S:0121 D:0000 DB:86 nvMxdiZc V:249 H:277 F:10
						8495CE 95 2A       STA $2A,X     [000E92] A:FF1D X:0E68 Y:CFB8 S:0121 D:0000 DB:86 nvMxdizc V:249 H:283 F:10
						8495D0 20 B3 90    JSR $90B3     [8490B3] A:FF1D X:0E68 Y:CFB8 S:0121 D:0000 DB:86 nvMxdizc V:249 H:290 F:10

							8490B3 0B          PHD                    A:FF1D X:0E68 Y:CFB8 S:011F D:0000 DB:86 nvMxdizc V:249 H:300 F:10
							8490B4 DA          PHX                    A:FF1D X:0E68 Y:CFB8 S:011D D:0000 DB:86 nvMxdizc V:249 H:307 F:10
							8490B5 08          PHP                    A:FF1D X:0E68 Y:CFB8 S:011B D:0000 DB:86 nvMxdizc V:249 H:314 F:10
							8490B6 E2 20       SEP #$20               A:FF1D X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:249 H:319 F:10
							8490B8 C2 10       REP #$10               A:FF1D X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:249 H:323 F:10
							8490BA 64 01       STZ $01       [000001] A:FF1D X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:249 H:327 F:10
							8490BC B5 29       LDA $29,X     [000E91] A:FF1D X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:249 H:332 F:10
							8490BE 10 02       BPL $0002     [8490C2] A:FF00 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdiZc V:249 H:338 F:10
							8490C2 18          CLC                    A:FF00 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdiZc V:250 H:  3 F:10
							8490C3 75 05       ADC $05,X     [000E6D] A:FF00 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdiZc V:250 H:  6 F:10
							8490C5 85 00       STA $00       [000000] A:FF44 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 12 F:10
							8490C7 B5 06       LDA $06,X     [000E6E] A:FF44 X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 17 F:10
							8490C9 65 01       ADC $01       [000001] A:FF1D X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 24 F:10
							8490CB 85 01       STA $01       [000001] A:FF1D X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 29 F:10
							8490CD 64 03       STZ $03       [000003] A:FF1D X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 34 F:10
							8490CF B5 2A       LDA $2A,X     [000E92] A:FF1D X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 39 F:10
							8490D1 10 02       BPL $0002     [8490D5] A:FF1D X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 45 F:10
							8490D5 18          CLC                    A:FF1D X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 50 F:10
							8490D6 75 08       ADC $08,X     [000E70] A:FF1D X:0E68 Y:CFB8 S:011A D:0000 DB:86 nvMxdizc V:250 H: 53 F:10
