80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0046 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:115 F:29
				8491D3 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:305 F:29
				8491D5 20 AC 92    JSR $92AC     [8492AC] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:313 F:29

				8492AC C2 30       REP #$30               A:0000 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdiZc V:248 H:323 F:29
				8492AE B5 05       LDA $05,X     [000E6D] A:0000 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdiZc V:248 H:327 F:29
				8492B0 38          SEC                    A:1490 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdizc V:248 H:335 F:29
				8492B1 F5 22       SBC $22,X     [000E8A] A:1490 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdizC V:248 H:338 F:29
				8492B3 85 00       STA $00       [000000] A:0001 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdizC V:249 H:  7 F:29
				8492B5 E2 20       SEP #$20               A:0001 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdizC V:249 H: 14 F:29
				8492B7 F0 4C       BEQ $004C     [849305] A:0001 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvMxdizC V:249 H: 18 F:29
				8492B9 B4 20       LDY $20,X     [000E88] A:0001 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvMxdizC V:249 H: 21 F:29
				8492BB B9 05 00    LDA $0005,Y   [86C954] A:0001 X:0E68 Y:C94F S:0124 D:0000 DB:86 NvMxdizC V:249 H: 30 F:29
				8492BE 34 11       BIT $11,X     [000E79] A:0000 X:0E68 Y:C94F S:0124 D:0000 DB:86 nvMxdiZC V:249 H: 37 F:29
				8492C0 50 03       BVC $0003     [8492C5] A:0000 X:0E68 Y:C94F S:0124 D:0000 DB:86 nvMxdiZC V:249 H: 44 F:29
				8492C5 24 00       BIT $00       [000000] A:0000 X:0E68 Y:C94F S:0124 D:0000 DB:86 nvMxdiZC V:249 H: 48 F:29
				8492C7 10 06       BPL $0006     [8492CF] A:0000 X:0E68 Y:C94F S:0124 D:0000 DB:86 nvMxdiZC V:249 H: 53 F:29
				8492CF 18          CLC                    A:0000 X:0E68 Y:C94F S:0124 D:0000 DB:86 nvMxdiZC V:249 H: 58 F:29
				8492D0 79 07 00    ADC $0007,Y   [86C956] A:0000 X:0E68 Y:C94F S:0124 D:0000 DB:86 nvMxdiZc V:249 H: 61 F:29
				8492D3 95 29       STA $29,X     [000E91] A:0010 X:0E68 Y:C94F S:0124 D:0000 DB:86 nvMxdizc V:249 H: 68 F:29
				8492D5 B9 06 00    LDA $0006,Y   [86C955] A:0010 X:0E68 Y:C94F S:0124 D:0000 DB:86 nvMxdizc V:249 H: 75 F:29
				8492D8 95 2A       STA $2A,X     [000E92] A:00FF X:0E68 Y:C94F S:0124 D:0000 DB:86 NvMxdizc V:249 H: 82 F:29
				8492DA 20 15 93    JSR $9315     [849315] A:00FF X:0E68 Y:C94F S:0124 D:0000 DB:86 NvMxdizc V:249 H: 89 F:29

				849315 20 B3 90    JSR $90B3     [8490B3] A:00FF X:0E68 Y:C94F S:0122 D:0000 DB:86 NvMxdizc V:249 H: 99 F:29

				8490B3 0B          PHD                    A:00FF X:0E68 Y:C94F S:0120 D:0000 DB:86 NvMxdizc V:249 H:109 F:29
				8490B4 DA          PHX                    A:00FF X:0E68 Y:C94F S:011E D:0000 DB:86 NvMxdizc V:249 H:116 F:29
				8490B5 08          PHP                    A:00FF X:0E68 Y:C94F S:011C D:0000 DB:86 NvMxdizc V:249 H:123 F:29
				8490B6 E2 20       SEP #$20               A:00FF X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizc V:249 H:128 F:29
				8490B8 C2 10       REP #$10               A:00FF X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizc V:249 H:132 F:29
				8490BA 64 01       STZ $01       [000001] A:00FF X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizc V:249 H:147 F:29
				8490BC B5 29       LDA $29,X     [000E91] A:00FF X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizc V:249 H:152 F:29
				8490BE 10 02       BPL $0002     [8490C2] A:0010 X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizc V:249 H:158 F:29
				8490C2 18          CLC                    A:0010 X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizc V:249 H:163 F:29
				8490C3 75 05       ADC $05,X     [000E6D] A:0010 X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizc V:249 H:166 F:29
				8490C5 85 00       STA $00       [000000] A:00A0 X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizc V:249 H:172 F:29
				8490C7 B5 06       LDA $06,X     [000E6E] A:00A0 X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizc V:249 H:177 F:29
				8490C9 65 01       ADC $01       [000001] A:0014 X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizc V:249 H:184 F:29
				8490CB 85 01       STA $01       [000001] A:0014 X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizc V:249 H:189 F:29
				8490CD 64 03       STZ $03       [000003] A:0014 X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizc V:249 H:194 F:29
				8490CF B5 2A       LDA $2A,X     [000E92] A:0014 X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizc V:249 H:199 F:29
				8490D1 10 02       BPL $0002     [8490D5] A:00FF X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizc V:249 H:205 F:29
				8490D3 C6 03       DEC $03       [000003] A:00FF X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizc V:249 H:208 F:29
				8490D5 18          CLC                    A:00FF X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizc V:249 H:217 F:29
				8490D6 75 08       ADC $08,X     [000E70] A:00FF X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizc V:249 H:220 F:29
				8490D8 85 02       STA $02       [000002] A:009C X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizC V:249 H:226 F:29
				8490DA 29 F0       AND #$F0               A:009C X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizC V:249 H:231 F:29
				8490DC 85 0A       STA $0A       [00000A] A:0090 X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizC V:249 H:234 F:29
				8490DE B5 09       LDA $09,X     [000E71] A:0090 X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizC V:249 H:239 F:29
				8490E0 65 03       ADC $03       [000003] A:000A X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizC V:249 H:246 F:29
				8490E2 85 03       STA $03       [000003] A:000A X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizC V:249 H:251 F:29
				8490E4 85 0B       STA $0B       [00000B] A:000A X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizC V:249 H:256 F:29
				8490E6 A5 00       LDA $00       [000000] A:000A X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizC V:249 H:261 F:29
				8490E8 29 0F       AND #$0F               A:00A0 X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizC V:249 H:266 F:29
				8490EA 1A          INC                    A:0000 X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdiZC V:249 H:269 F:29
				8490EB 85 0C       STA $0C       [00000C] A:0001 X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizC V:249 H:272 F:29
				8490ED A5 02       LDA $02       [000002] A:0001 X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizC V:249 H:277 F:29
				8490EF 29 0F       AND #$0F               A:009C X:0E68 Y:C94F S:011B D:0000 DB:86 NvMxdizC V:249 H:282 F:29
				8490F1 1A          INC                    A:000C X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizC V:249 H:285 F:29
				8490F2 85 0E       STA $0E       [00000E] A:000D X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizC V:249 H:288 F:29
				8490F4 C2 20       REP #$20               A:000D X:0E68 Y:C94F S:011B D:0000 DB:86 nvMxdizC V:249 H:293 F:29
				8490F6 20 6A 91    JSR $916A     [84916A] A:000D X:0E68 Y:C94F S:011B D:0000 DB:86 nvmxdizC V:249 H:297 F:29

				84916A A9 00 E8    LDA #$E800             A:000D X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizC V:249 H:307 F:29
				84916D 85 10       STA $10       [000010] A:E800 X:0E68 Y:C94F S:0119 D:0000 DB:86 NvmxdizC V:249 H:312 F:29
				84916F A9 7E 00    LDA #$007E             A:E800 X:0E68 Y:C94F S:0119 D:0000 DB:86 NvmxdizC V:249 H:319 F:29
				849172 85 12       STA $12       [000012] A:007E X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizC V:249 H:323 F:29
				849174 A5 02       LDA $02       [000002] A:007E X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizC V:249 H:329 F:29
				849176 29 F0 00    AND #$00F0             A:0A9C X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizC V:249 H:336 F:29
				849179 0A          ASL A                  A:0090 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizC V:250 H:  1 F:29
				84917A 85 04       STA $04       [000004] A:0120 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H:  4 F:29
				84917C A5 00       LDA $00       [000000] A:0120 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 11 F:29
				84917E 29 FF 00    AND #$00FF             A:14A0 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 18 F:29
				849181 4A          LSR A                  A:00A0 X:0E68 Y:C94F S:0119 D:0000 DB:86 nvmxdizc V:250 H: 22 F:29
