80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BC S:0133 D:0E68 DB:86 nvMXdizC V:247 H:206 F:25
					8492D3 95 29       STA $29,X     [000E91] A:0030 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdizc V:249 H:225 F:25
					8492D5 B9 06 00    LDA $0006,Y   [86CFD7] A:0030 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdizc V:249 H:231 F:25
					8492D8 95 2A       STA $2A,X     [000E92] A:00FC X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizc V:249 H:239 F:25
					8492DA 20 15 93    JSR $9315     [849315] A:00FC X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizc V:249 H:245 F:25

						849315 20 B3 90    JSR $90B3     [8490B3] A:00FC X:0E68 Y:CFD1 S:0122 D:0000 DB:86 NvMxdizc V:249 H:255 F:25

							8490B3 0B          PHD                    A:00FC X:0E68 Y:CFD1 S:0120 D:0000 DB:86 NvMxdizc V:249 H:265 F:25
							8490B4 DA          PHX                    A:00FC X:0E68 Y:CFD1 S:011E D:0000 DB:86 NvMxdizc V:249 H:272 F:25
							8490B5 08          PHP                    A:00FC X:0E68 Y:CFD1 S:011C D:0000 DB:86 NvMxdizc V:249 H:279 F:25
							8490B6 E2 20       SEP #$20               A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:284 F:25
							8490B8 C2 10       REP #$10               A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:289 F:25
							8490BA 64 01       STZ $01       [000001] A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:293 F:25
							8490BC B5 29       LDA $29,X     [000E91] A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:298 F:25
							8490BE 10 02       BPL $0002     [8490C2] A:0030 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:305 F:25
							8490C2 18          CLC                    A:0030 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:309 F:25
							8490C3 75 05       ADC $05,X     [000E6D] A:0030 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:312 F:25
							8490C5 85 00       STA $00       [000000] A:0078 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:319 F:25
							8490C7 B5 06       LDA $06,X     [000E6E] A:0078 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:323 F:25
							8490C9 65 01       ADC $01       [000001] A:001D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:329 F:25
							8490CB 85 01       STA $01       [000001] A:001D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:334 F:25
							8490CD 64 03       STZ $03       [000003] A:001D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:249 H:339 F:25
							8490CF B5 2A       LDA $2A,X     [000E92] A:001D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizc V:250 H:  4 F:25
							8490D1 10 02       BPL $0002     [8490D5] A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:250 H: 11 F:25
							8490D3 C6 03       DEC $03       [000003] A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:250 H: 14 F:25
							8490D5 18          CLC                    A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:250 H: 22 F:25
							8490D6 75 08       ADC $08,X     [000E70] A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:250 H: 25 F:25
							8490D8 85 02       STA $02       [000002] A:009E X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:250 H: 32 F:25
							8490DA 29 F0       AND #$F0               A:009E X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:250 H: 37 F:25
							8490DC 85 0A       STA $0A       [00000A] A:0090 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:250 H: 40 F:25
							8490DE B5 09       LDA $09,X     [000E71] A:0090 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:250 H: 45 F:25
							8490E0 65 03       ADC $03       [000003] A:0003 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:250 H: 51 F:25
							8490E2 85 03       STA $03       [000003] A:0003 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:250 H: 56 F:25
							8490E4 85 0B       STA $0B       [00000B] A:0003 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:250 H: 61 F:25
							8490E6 A5 00       LDA $00       [000000] A:0003 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:250 H: 66 F:25
							8490E8 29 0F       AND #$0F               A:0078 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:250 H: 71 F:25
							8490EA 1A          INC                    A:0008 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:250 H: 74 F:25
							8490EB 85 0C       STA $0C       [00000C] A:0009 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:250 H: 77 F:25
							8490ED A5 02       LDA $02       [000002] A:0009 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:250 H: 82 F:25
							8490EF 29 0F       AND #$0F               A:009E X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:250 H: 87 F:25
							8490F1 1A          INC                    A:000E X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:250 H: 90 F:25
							8490F2 85 0E       STA $0E       [00000E] A:000F X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:250 H: 93 F:25
							8490F4 C2 20       REP #$20               A:000F X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:250 H: 98 F:25
							8490F6 20 6A 91    JSR $916A     [84916A] A:000F X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvmxdizC V:250 H:103 F:25

								84916A A9 00 E8    LDA #$E800             A:000F X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:250 H:113 F:25
								84916D 85 10       STA $10       [000010] A:E800 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 NvmxdizC V:250 H:117 F:25
								84916F A9 7E 00    LDA #$007E             A:E800 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 NvmxdizC V:250 H:124 F:25
