80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BC S:0133 D:0E68 DB:86 nvMXdizC V:247 H:212 F:55
				8491C0 C2 30       REP #$30               A:CFD1 X:0002 Y:00BC S:0126 D:0E68 DB:86 NvMXdizc V:248 H:281 F:55
				8491C2 A5 20       LDA $20       [000E88] A:CFD1 X:0002 Y:00BC S:0126 D:0E68 DB:86 Nvmxdizc V:248 H:285 F:55
				8491C4 F0 15       BEQ $0015     [8491DB] A:CFD1 X:0002 Y:00BC S:0126 D:0E68 DB:86 Nvmxdizc V:248 H:294 F:55
				8491C6 7B          TDC                    A:CFD1 X:0002 Y:00BC S:0126 D:0E68 DB:86 Nvmxdizc V:248 H:297 F:55
				8491C7 AA          TAX                    A:0E68 X:0002 Y:00BC S:0126 D:0E68 DB:86 nvmxdizc V:248 H:300 F:55
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:00BC S:0126 D:0E68 DB:86 nvmxdizc V:248 H:303 F:55
				8491CB 5B          TCD                    A:0000 X:0E68 Y:00BC S:0126 D:0E68 DB:86 nvmxdiZc V:248 H:307 F:55
				8491CC 64 14       STZ $14       [000014] A:0000 X:0E68 Y:00BC S:0126 D:0000 DB:86 nvmxdiZc V:248 H:310 F:55
				8491CE B5 2B       LDA $2B,X     [000E93] A:0000 X:0E68 Y:00BC S:0126 D:0000 DB:86 nvmxdiZc V:248 H:317 F:55
				8491D0 29 00 FF    AND #$FF00             A:0000 X:0E68 Y:00BC S:0126 D:0000 DB:86 nvmxdiZc V:248 H:325 F:55
				8491D3 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:00BC S:0126 D:0000 DB:86 nvmxdiZc V:248 H:329 F:55
				8491D5 20 AC 92    JSR $92AC     [8492AC] A:0000 X:0E68 Y:00BC S:0126 D:0000 DB:86 nvmxdiZc V:248 H:338 F:55

					8492AC C2 30       REP #$30               A:0000 X:0E68 Y:00BC S:0124 D:0000 DB:86 nvmxdiZc V:249 H:  8 F:55
					8492AE B5 05       LDA $05,X     [000E6D] A:0000 X:0E68 Y:00BC S:0124 D:0000 DB:86 nvmxdiZc V:249 H: 12 F:55
					8492B0 38          SEC                    A:1DC0 X:0E68 Y:00BC S:0124 D:0000 DB:86 nvmxdizc V:249 H: 21 F:55
					8492B1 F5 22       SBC $22,X     [000E8A] A:1DC0 X:0E68 Y:00BC S:0124 D:0000 DB:86 nvmxdizC V:249 H: 24 F:55
					8492B3 85 00       STA $00       [000000] A:0004 X:0E68 Y:00BC S:0124 D:0000 DB:86 nvmxdizC V:249 H: 32 F:55
					8492B5 E2 20       SEP #$20               A:0004 X:0E68 Y:00BC S:0124 D:0000 DB:86 nvmxdizC V:249 H: 39 F:55
					8492B7 F0 4C       BEQ $004C     [849305] A:0004 X:0E68 Y:00BC S:0124 D:0000 DB:86 nvMxdizC V:249 H: 44 F:55
					8492B9 B4 20       LDY $20,X     [000E88] A:0004 X:0E68 Y:00BC S:0124 D:0000 DB:86 nvMxdizC V:249 H: 47 F:55
					8492BB B9 05 00    LDA $0005,Y   [86CFD6] A:0004 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizC V:249 H: 55 F:55
					8492BE 34 11       BIT $11,X     [000E79] A:00E8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizC V:249 H: 63 F:55
					8492C0 50 03       BVC $0003     [8492C5] A:00E8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nVMxdizC V:249 H: 69 F:55
					8492C2 49 FF       EOR #$FF               A:00E8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nVMxdizC V:249 H: 72 F:55
					8492C4 1A          INC                    A:0017 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nVMxdizC V:249 H: 75 F:55
					8492C5 24 00       BIT $00       [000000] A:0018 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nVMxdizC V:249 H: 78 F:55
					8492C7 10 06       BPL $0006     [8492CF] A:0018 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdiZC V:249 H: 83 F:55
					8492CF 18          CLC                    A:0018 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdiZC V:249 H: 88 F:55
					8492D0 79 07 00    ADC $0007,Y   [86CFD8] A:0018 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdiZc V:249 H: 91 F:55
					8492D3 95 29       STA $29,X     [000E91] A:0030 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdizc V:249 H: 98 F:55
					8492D5 B9 06 00    LDA $0006,Y   [86CFD7] A:0030 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdizc V:249 H:105 F:55
					8492D8 95 2A       STA $2A,X     [000E92] A:00FC X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizc V:249 H:112 F:55
					8492DA 20 15 93    JSR $9315     [849315] A:00FC X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizc V:249 H:119 F:55

						849315 20 B3 90    JSR $90B3     [8490B3] A:00FC X:0E68 Y:CFD1 S:0122 D:0000 DB:86 NvMxdizc V:249 H:129 F:55

							8490B3 0B          PHD                    A:00FC X:0E68 Y:CFD1 S:0120 D:0000 DB:86 NvMxdizc V:249 H:149 F:55
							8490B4 DA          PHX                    A:00FC X:0E68 Y:CFD1 S:011E D:0000 DB:86 NvMxdizc V:249 H:156 F:55
							8490B5 08          PHP                    A:00FC X:0E68 Y:CFD1 S:011C D:0000 DB:86 NvMxdizc V:249 H:163 F:55
							8490B6 E2 20       SEP #$20               A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:168 F:55
							8490B8 C2 10       REP #$10               A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:172 F:55
							8490BA 64 01       STZ $01       [000001] A:00FC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:249 H:177 F:55
