80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:009B S:0133 D:0E68 DB:86 nvMXdizC V:247 H:163 F:14
				8492D3 95 29       STA $29,X     [000E91] A:FFF4 X:0E68 Y:C58D S:0124 D:0000 DB:86 NvMxdizc V:248 H:289 F:14
				8492D5 B9 06 00    LDA $0006,Y   [86C593] A:FFF4 X:0E68 Y:C58D S:0124 D:0000 DB:86 NvMxdizc V:248 H:296 F:14
				8492D8 95 2A       STA $2A,X     [000E92] A:FF02 X:0E68 Y:C58D S:0124 D:0000 DB:86 nvMxdizc V:248 H:303 F:14
				8492DA 20 15 93    JSR $9315     [849315] A:FF02 X:0E68 Y:C58D S:0124 D:0000 DB:86 nvMxdizc V:248 H:310 F:14

				849315 20 B3 90    JSR $90B3     [8490B3] A:FF02 X:0E68 Y:C58D S:0122 D:0000 DB:86 nvMxdizc V:248 H:320 F:14

				8490B3 0B          PHD                    A:FF02 X:0E68 Y:C58D S:0120 D:0000 DB:86 nvMxdizc V:248 H:329 F:14
				8490B4 DA          PHX                    A:FF02 X:0E68 Y:C58D S:011E D:0000 DB:86 nvMxdizc V:248 H:336 F:14
				8490B5 08          PHP                    A:FF02 X:0E68 Y:C58D S:011C D:0000 DB:86 nvMxdizc V:249 H:  3 F:14
				8490B6 E2 20       SEP #$20               A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:  8 F:14
				8490B8 C2 10       REP #$10               A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H: 12 F:14
				8490BA 64 01       STZ $01       [000001] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H: 17 F:14
				8490BC B5 29       LDA $29,X     [000E91] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H: 22 F:14
