80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:009B S:0133 D:0E68 DB:86 nvMXdizC V:255 H:162 F:59
				8490BC B5 29       LDA $29,X     [000E91] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:257 H: 21 F:59
				8490BE 10 02       BPL $0002     [8490C2] A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:257 H: 28 F:59
				8490C0 C6 01       DEC $01       [000001] A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:257 H: 31 F:59
				8490C2 18          CLC                    A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:257 H: 39 F:59
				8490C3 75 05       ADC $05,X     [000E6D] A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:257 H: 42 F:59
				8490C5 85 00       STA $00       [000000] A:FF7F X:0E68 Y:C58D S:011B D:0000 DB:86 nVMxdizC V:257 H: 49 F:59
				8490C7 B5 06       LDA $06,X     [000E6E] A:FF7F X:0E68 Y:C58D S:011B D:0000 DB:86 nVMxdizC V:257 H: 54 F:59
				8490C9 65 01       ADC $01       [000001] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nVMxdizC V:257 H: 60 F:59
				8490CB 85 01       STA $01       [000001] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:257 H: 65 F:59
				8490CD 64 03       STZ $03       [000003] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:257 H: 70 F:59
				8490CF B5 2A       LDA $2A,X     [000E92] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:257 H: 75 F:59
				8490D1 10 02       BPL $0002     [8490D5] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:257 H: 82 F:59
				8490D5 18          CLC                    A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:257 H: 86 F:59
				8490D6 75 08       ADC $08,X     [000E70] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:257 H: 89 F:59
				8490D8 85 02       STA $02       [000002] A:FFAA X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:257 H: 96 F:59
				8490DA 29 F0       AND #$F0               A:FFAA X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:257 H:101 F:59
				8490DC 85 0A       STA $0A       [00000A] A:FFA0 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:257 H:104 F:59
				8490DE B5 09       LDA $09,X     [000E71] A:FFA0 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:257 H:109 F:59
				8490E0 65 03       ADC $03       [000003] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:257 H:115 F:59
				8490E2 85 03       STA $03       [000003] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:257 H:120 F:59
				8490E4 85 0B       STA $0B       [00000B] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:257 H:125 F:59
				8490E6 A5 00       LDA $00       [000000] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:257 H:130 F:59
				8490E8 29 0F       AND #$0F               A:FF7F X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:257 H:145 F:59
				8490EA 1A          INC                    A:FF0F X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:257 H:148 F:59
				8490EB 85 0C       STA $0C       [00000C] A:FF10 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:257 H:151 F:59
				8490ED A5 02       LDA $02       [000002] A:FF10 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:257 H:156 F:59
				8490EF 29 0F       AND #$0F               A:FFAA X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:257 H:161 F:59
				8490F1 1A          INC                    A:FF0A X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:257 H:164 F:59
				8490F2 85 0E       STA $0E       [00000E] A:FF0B X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:257 H:167 F:59
				8490F4 C2 20       REP #$20               A:FF0B X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:257 H:172 F:59
				8490F6 20 6A 91    JSR $916A     [84916A] A:FF0B X:0E68 Y:C58D S:011B D:0000 DB:86 nvmxdizc V:257 H:177 F:59

				84916A A9 00 E8    LDA #$E800             A:FF0B X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:187 F:59
				84916D 85 10       STA $10       [000010] A:E800 X:0E68 Y:C58D S:0119 D:0000 DB:86 Nvmxdizc V:257 H:191 F:59
				84916F A9 7E 00    LDA #$007E             A:E800 X:0E68 Y:C58D S:0119 D:0000 DB:86 Nvmxdizc V:257 H:198 F:59
				849172 85 12       STA $12       [000012] A:007E X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:203 F:59
				849174 A5 02       LDA $02       [000002] A:007E X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:210 F:59
				849176 29 F0 00    AND #$00F0             A:00AA X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:217 F:59
				849179 0A          ASL A                  A:00A0 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:221 F:59
				84917A 85 04       STA $04       [000004] A:0140 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:224 F:59
				84917C A5 00       LDA $00       [000000] A:0140 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:231 F:59
				84917E 29 FF 00    AND #$00FF             A:077F X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:238 F:59
				849181 4A          LSR A                  A:007F X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:243 F:59
				849182 4A          LSR A                  A:003F X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizC V:257 H:246 F:59
				849183 4A          LSR A                  A:001F X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizC V:257 H:249 F:59
				849184 29 FE FF    AND #$FFFE             A:000F X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizC V:257 H:252 F:59
				849187 18          CLC                    A:000E X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizC V:257 H:256 F:59
				849188 65 04       ADC $04       [000004] A:000E X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:259 F:59
				84918A 85 06       STA $06       [000006] A:014E X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:266 F:59
				84918C A5 00       LDA $00       [000000] A:014E X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:273 F:59
				84918E EB          XBA                    A:077F X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:280 F:59
				84918F 29 1F 00    AND #$001F             A:7F07 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:285 F:59
				849192 85 04       STA $04       [000004] A:0007 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:289 F:59
				849194 A5 02       LDA $02       [000002] A:0007 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:296 F:59
				849196 29 00 1F    AND #$1F00             A:00AA X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:303 F:59
				849199 4A          LSR A                  A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:257 H:308 F:59
				84919A 4A          LSR A                  A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:257 H:311 F:59
				84919B 4A          LSR A                  A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:257 H:314 F:59
				84919C 18          CLC                    A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:257 H:317 F:59
				84919D 65 04       ADC $04       [000004] A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:257 H:320 F:59
				84919F A8          TAY                    A:0007 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:257 H:326 F:59
				8491A0 B7 10       LDA [$10],Y   [7EE807] A:0007 X:0E68 Y:0007 S:0119 D:0000 DB:86 nvmxdizc V:257 H:329 F:59
				8491A2 29 FF 00    AND #$00FF             A:0003 X:0E68 Y:0007 S:0119 D:0000 DB:86 nvmxdizc V:258 H:  2 F:59
				8491A5 A8          TAY                    A:0003 X:0E68 Y:0007 S:0119 D:0000 DB:86 nvmxdizc V:258 H:  6 F:59
				8491A6 EB          XBA                    A:0003 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:258 H:  9 F:59
				8491A7 0A          ASL A                  A:0300 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdiZc V:258 H: 14 F:59
				8491A8 18          CLC                    A:0600 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:258 H: 17 F:59
				8491A9 65 06       ADC $06       [000006] A:0600 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:258 H: 20 F:59
				8491AB AA          TAX                    A:074E X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:258 H: 27 F:59
