80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0091 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:164 F: 0
				849187 18          CLC                    A:0018 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:258 F: 0
				849188 65 04       ADC $04       [000004] A:0018 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:261 F: 0
				84918A 85 06       STA $06       [000006] A:0158 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:268 F: 0
				84918C A5 00       LDA $00       [000000] A:0158 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:275 F: 0
				84918E EB          XBA                    A:07C0 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:282 F: 0
				84918F 29 1F 00    AND #$001F             A:C007 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:286 F: 0
				849192 85 04       STA $04       [000004] A:0007 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:291 F: 0
				849194 A5 02       LDA $02       [000002] A:0007 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:298 F: 0
				849196 29 00 1F    AND #$1F00             A:00AA X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:305 F: 0
				849199 4A          LSR A                  A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:249 H:309 F: 0
				84919A 4A          LSR A                  A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:249 H:312 F: 0
				84919B 4A          LSR A                  A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:249 H:315 F: 0
				84919C 18          CLC                    A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:249 H:318 F: 0
				84919D 65 04       ADC $04       [000004] A:0000 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdiZc V:249 H:321 F: 0
				84919F A8          TAY                    A:0007 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:327 F: 0
				8491A0 B7 10       LDA [$10],Y   [7EE807] A:0007 X:0E68 Y:0007 S:0119 D:0000 DB:86 nvmxdizc V:249 H:330 F: 0
				8491A2 29 FF 00    AND #$00FF             A:0003 X:0E68 Y:0007 S:0119 D:0000 DB:86 nvmxdizc V:250 H:  3 F: 0
				8491A5 A8          TAY                    A:0003 X:0E68 Y:0007 S:0119 D:0000 DB:86 nvmxdizc V:250 H:  8 F: 0
				8491A6 EB          XBA                    A:0003 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 11 F: 0
				8491A7 0A          ASL A                  A:0300 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdiZc V:250 H: 15 F: 0
				8491A8 18          CLC                    A:0600 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 18 F: 0
				8491A9 65 06       ADC $06       [000006] A:0600 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 21 F: 0
				8491AB AA          TAX                    A:0758 X:0E68 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 28 F: 0
				8491AC 60          RTS                    A:0758 X:0758 Y:0003 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 31 F: 0

				8490F9 BF 00 20 7E LDA $7E2000,X [7E2758] A:0758 X:0758 Y:0003 S:011B D:0000 DB:86 nvmxdizc V:250 H: 41 F: 0
				8490FD A8          TAY                    A:0289 X:0758 Y:0003 S:011B D:0000 DB:86 nvmxdizc V:250 H: 51 F: 0
				8490FE AD 92 0B    LDA $0B92     [860B92] A:0289 X:0758 Y:0289 S:011B D:0000 DB:86 nvmxdizc V:250 H: 54 F: 0
				849101 85 10       STA $10       [000010] A:F0A5 X:0758 Y:0289 S:011B D:0000 DB:86 Nvmxdizc V:250 H: 63 F: 0
