80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0027 S:0133 D:0E68 DB:86 nvMXdizC V:248 H:197 F:52
					8492C2 49 FF       EOR #$FF               A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nVMxdiZC V:250 H:103 F:52
					8492C4 1A          INC                    A:00FF X:0E68 Y:C42D S:0124 D:0000 DB:86 NVMxdizC V:250 H:106 F:52
					8492C5 24 00       BIT $00       [000000] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nVMxdiZC V:250 H:109 F:52
					8492C7 10 06       BPL $0006     [8492CF] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdiZC V:250 H:114 F:52
					8492CF 18          CLC                    A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdiZC V:250 H:118 F:52
					8492D0 79 07 00    ADC $0007,Y   [86C434] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdiZc V:250 H:121 F:52
					8492D3 95 29       STA $29,X     [000E91] A:000E X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:129 F:52
					8492D5 B9 06 00    LDA $0006,Y   [86C433] A:000E X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:145 F:52
					8492D8 95 2A       STA $2A,X     [000E92] A:0002 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:153 F:52
					8492DA 20 15 93    JSR $9315     [849315] A:0002 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:159 F:52

						849315 20 B3 90    JSR $90B3     [8490B3] A:0002 X:0E68 Y:C42D S:0122 D:0000 DB:86 nvMxdizc V:250 H:169 F:52

							8490B3 0B          PHD                    A:0002 X:0E68 Y:C42D S:0120 D:0000 DB:86 nvMxdizc V:250 H:179 F:52
							8490B4 DA          PHX                    A:0002 X:0E68 Y:C42D S:011E D:0000 DB:86 nvMxdizc V:250 H:186 F:52
							8490B5 08          PHP                    A:0002 X:0E68 Y:C42D S:011C D:0000 DB:86 nvMxdizc V:250 H:193 F:52
							8490B6 E2 20       SEP #$20               A:0002 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:198 F:52
							8490B8 C2 10       REP #$10               A:0002 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:203 F:52
							8490BA 64 01       STZ $01       [000001] A:0002 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:207 F:52
							8490BC B5 29       LDA $29,X     [000E91] A:0002 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:212 F:52
							8490BE 10 02       BPL $0002     [8490C2] A:000E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:219 F:52
							8490C2 18          CLC                    A:000E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:223 F:52
							8490C3 75 05       ADC $05,X     [000E6D] A:000E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:226 F:52
							8490C5 85 00       STA $00       [000000] A:00C4 X:0E68 Y:C42D S:011B D:0000 DB:86 NvMxdizc V:250 H:233 F:52
							8490C7 B5 06       LDA $06,X     [000E6E] A:00C4 X:0E68 Y:C42D S:011B D:0000 DB:86 NvMxdizc V:250 H:238 F:52
							8490C9 65 01       ADC $01       [000001] A:001E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:244 F:52
							8490CB 85 01       STA $01       [000001] A:001E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:249 F:52
							8490CD 64 03       STZ $03       [000003] A:001E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:254 F:52
							8490CF B5 2A       LDA $2A,X     [000E92] A:001E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:259 F:52
