80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0027 S:0133 D:0E68 DB:86 nvMXdizC V:248 H:241 F: 8
			81BA3C C9 28 16    CMP #$1628             A:14E8 X:14E8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:339 F: 8
			81BA3F 90 D5       BCC $00D5     [81BA16] A:14E8 X:14E8 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:250 H:  3 F: 8
			81BA16 E2 20       SEP #$20               A:14E8 X:14E8 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:250 H:  8 F: 8
			81BA18 BD 00 00    LDA $0000,X   [8614E8] A:14E8 X:14E8 Y:0027 S:012C D:0E68 DB:86 NvMxdizc V:250 H: 12 F: 8
			81BA1B F0 17       BEQ $0017     [81BA34] A:1400 X:14E8 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:250 H: 20 F: 8
			81BA34 C2 20       REP #$20               A:1400 X:14E8 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:250 H: 25 F: 8
			81BA36 8A          TXA                    A:1400 X:14E8 Y:0027 S:012C D:0E68 DB:86 nvmxdiZc V:250 H: 29 F: 8
			81BA37 18          CLC                    A:14E8 X:14E8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H: 32 F: 8
			81BA38 69 40 00    ADC #$0040             A:14E8 X:14E8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H: 35 F: 8
			81BA3B AA          TAX                    A:1528 X:14E8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H: 40 F: 8
			81BA3C C9 28 16    CMP #$1628             A:1528 X:1528 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H: 43 F: 8
			81BA3F 90 D5       BCC $00D5     [81BA16] A:1528 X:1528 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:250 H: 47 F: 8
			81BA16 E2 20       SEP #$20               A:1528 X:1528 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:250 H: 52 F: 8
			81BA18 BD 00 00    LDA $0000,X   [861528] A:1528 X:1528 Y:0027 S:012C D:0E68 DB:86 NvMxdizc V:250 H: 56 F: 8
			81BA1B F0 17       BEQ $0017     [81BA34] A:1500 X:1528 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:250 H: 64 F: 8
			81BA34 C2 20       REP #$20               A:1500 X:1528 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:250 H: 69 F: 8
			81BA36 8A          TXA                    A:1500 X:1528 Y:0027 S:012C D:0E68 DB:86 nvmxdiZc V:250 H: 73 F: 8
			81BA37 18          CLC                    A:1528 X:1528 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H: 76 F: 8
			81BA38 69 40 00    ADC #$0040             A:1528 X:1528 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H: 79 F: 8
			81BA3B AA          TAX                    A:1568 X:1528 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H: 84 F: 8
			81BA3C C9 28 16    CMP #$1628             A:1568 X:1568 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H: 87 F: 8
			81BA3F 90 D5       BCC $00D5     [81BA16] A:1568 X:1568 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:250 H: 91 F: 8
			81BA16 E2 20       SEP #$20               A:1568 X:1568 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:250 H: 96 F: 8
			81BA18 BD 00 00    LDA $0000,X   [861568] A:1568 X:1568 Y:0027 S:012C D:0E68 DB:86 NvMxdizc V:250 H:100 F: 8
			81BA1B F0 17       BEQ $0017     [81BA34] A:1500 X:1568 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:250 H:108 F: 8
			81BA34 C2 20       REP #$20               A:1500 X:1568 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:250 H:113 F: 8
			81BA36 8A          TXA                    A:1500 X:1568 Y:0027 S:012C D:0E68 DB:86 nvmxdiZc V:250 H:117 F: 8
			81BA37 18          CLC                    A:1568 X:1568 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:120 F: 8
			81BA38 69 40 00    ADC #$0040             A:1568 X:1568 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:123 F: 8
			81BA3B AA          TAX                    A:15A8 X:1568 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:128 F: 8
			81BA3C C9 28 16    CMP #$1628             A:15A8 X:15A8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:131 F: 8
			81BA3F 90 D5       BCC $00D5     [81BA16] A:15A8 X:15A8 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:250 H:145 F: 8
			81BA16 E2 20       SEP #$20               A:15A8 X:15A8 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:250 H:150 F: 8
			81BA18 BD 00 00    LDA $0000,X   [8615A8] A:15A8 X:15A8 Y:0027 S:012C D:0E68 DB:86 NvMxdizc V:250 H:154 F: 8
			81BA1B F0 17       BEQ $0017     [81BA34] A:1500 X:15A8 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:250 H:162 F: 8
			81BA34 C2 20       REP #$20               A:1500 X:15A8 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:250 H:167 F: 8
			81BA36 8A          TXA                    A:1500 X:15A8 Y:0027 S:012C D:0E68 DB:86 nvmxdiZc V:250 H:171 F: 8
			81BA37 18          CLC                    A:15A8 X:15A8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:174 F: 8
			81BA38 69 40 00    ADC #$0040             A:15A8 X:15A8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:177 F: 8
			81BA3B AA          TAX                    A:15E8 X:15A8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:182 F: 8
			81BA3C C9 28 16    CMP #$1628             A:15E8 X:15E8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:250 H:185 F: 8
