80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0002 S:0133 D:0E68 DB:86 nvMXdizC V:250 H:300 F:33
				83BA2C E2 20       SEP #$20               A:12E8 X:12E8 Y:0002 S:012A D:0E68 DB:86 Nvmxdizc V:252 H: 19 F:33
				83BA2E BD 00 00    LDA $0000,X   [8612E8] A:12E8 X:12E8 Y:0002 S:012A D:0E68 DB:86 NvMxdizc V:252 H: 23 F:33
				83BA31 F0 54       BEQ $0054     [83BA87] A:1200 X:12E8 Y:0002 S:012A D:0E68 DB:86 nvMxdiZc V:252 H: 31 F:33
				83BA87 C2 20       REP #$20               A:1200 X:12E8 Y:0002 S:012A D:0E68 DB:86 nvMxdiZc V:252 H: 36 F:33
				83BA89 8A          TXA                    A:1200 X:12E8 Y:0002 S:012A D:0E68 DB:86 nvmxdiZc V:252 H: 40 F:33
				83BA8A 18          CLC                    A:12E8 X:12E8 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:252 H: 43 F:33
				83BA8B 69 40 00    ADC #$0040             A:12E8 X:12E8 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:252 H: 46 F:33
				83BA8E AA          TAX                    A:1328 X:12E8 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:252 H: 51 F:33
				83BA8F C9 28 14    CMP #$1428             A:1328 X:1328 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:252 H: 54 F:33
				83BA92 90 98       BCC $0098     [83BA2C] A:1328 X:1328 Y:0002 S:012A D:0E68 DB:86 Nvmxdizc V:252 H: 58 F:33
				83BA2C E2 20       SEP #$20               A:1328 X:1328 Y:0002 S:012A D:0E68 DB:86 Nvmxdizc V:252 H: 63 F:33
				83BA2E BD 00 00    LDA $0000,X   [861328] A:1328 X:1328 Y:0002 S:012A D:0E68 DB:86 NvMxdizc V:252 H: 67 F:33
				83BA31 F0 54       BEQ $0054     [83BA87] A:1300 X:1328 Y:0002 S:012A D:0E68 DB:86 nvMxdiZc V:252 H: 75 F:33
				83BA87 C2 20       REP #$20               A:1300 X:1328 Y:0002 S:012A D:0E68 DB:86 nvMxdiZc V:252 H: 80 F:33
				83BA89 8A          TXA                    A:1300 X:1328 Y:0002 S:012A D:0E68 DB:86 nvmxdiZc V:252 H: 84 F:33
				83BA8A 18          CLC                    A:1328 X:1328 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:252 H: 87 F:33
				83BA8B 69 40 00    ADC #$0040             A:1328 X:1328 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:252 H: 90 F:33
				83BA8E AA          TAX                    A:1368 X:1328 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:252 H: 95 F:33
				83BA8F C9 28 14    CMP #$1428             A:1368 X:1368 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:252 H: 98 F:33
				83BA92 90 98       BCC $0098     [83BA2C] A:1368 X:1368 Y:0002 S:012A D:0E68 DB:86 Nvmxdizc V:252 H:102 F:33
				83BA2C E2 20       SEP #$20               A:1368 X:1368 Y:0002 S:012A D:0E68 DB:86 Nvmxdizc V:252 H:107 F:33
				83BA2E BD 00 00    LDA $0000,X   [861368] A:1368 X:1368 Y:0002 S:012A D:0E68 DB:86 NvMxdizc V:252 H:111 F:33
				83BA31 F0 54       BEQ $0054     [83BA87] A:1300 X:1368 Y:0002 S:012A D:0E68 DB:86 nvMxdiZc V:252 H:119 F:33
				83BA87 C2 20       REP #$20               A:1300 X:1368 Y:0002 S:012A D:0E68 DB:86 nvMxdiZc V:252 H:124 F:33
